EPotencial:	ECinetica:	ETotal:
-0.096378,	0.048522,	-0.047857
-0.096601,	0.048634,	-0.047967
-0.096823,	0.048746,	-0.048078
-0.097046,	0.048858,	-0.048188
-0.097269,	0.048970,	-0.048299
-0.097491,	0.049082,	-0.048409
-0.097714,	0.049194,	-0.048520
-0.097936,	0.049306,	-0.048630
-0.098159,	0.049418,	-0.048741
-0.098382,	0.049530,	-0.048851
-0.098604,	0.049642,	-0.048962
-0.098827,	0.049754,	-0.049072
-0.099049,	0.049867,	-0.049183
-0.099272,	0.049979,	-0.049293
-0.099495,	0.050091,	-0.049404
-0.099717,	0.050203,	-0.049514
-0.099940,	0.050315,	-0.049625
-0.100162,	0.050427,	-0.049735
-0.100385,	0.050539,	-0.049846
-0.100608,	0.050651,	-0.049957
-0.100830,	0.050763,	-0.050067
-0.101053,	0.050875,	-0.050178
-0.101275,	0.050987,	-0.050288
-0.101498,	0.051099,	-0.050399
-0.101720,	0.051211,	-0.050509
-0.101943,	0.051323,	-0.050620
-0.102166,	0.051435,	-0.050730
-0.102388,	0.051548,	-0.050841
-0.102611,	0.051660,	-0.050951
-0.102833,	0.051772,	-0.051062
-0.103056,	0.051884,	-0.051172
-0.103279,	0.051996,	-0.051283
-0.103501,	0.052108,	-0.051393
-0.103724,	0.052220,	-0.051504
-0.103946,	0.052332,	-0.051614
-0.104169,	0.052444,	-0.051725
-0.104392,	0.052556,	-0.051835
-0.104614,	0.052668,	-0.051946
-0.104837,	0.052780,	-0.052056
-0.105059,	0.052892,	-0.052167
-0.105282,	0.053004,	-0.052278
-0.105505,	0.053116,	-0.052388
-0.105727,	0.053229,	-0.052499
-0.105950,	0.053341,	-0.052609
-0.106172,	0.053453,	-0.052720
-0.106395,	0.053565,	-0.052830
-0.106617,	0.053677,	-0.052941
-0.106840,	0.053789,	-0.053051
-0.107063,	0.053901,	-0.053162
-0.107285,	0.054013,	-0.053272
-0.107508,	0.054125,	-0.053383
-0.107730,	0.054237,	-0.053493
-0.107953,	0.054349,	-0.053604
-0.108176,	0.054461,	-0.053714
-0.108398,	0.054573,	-0.053825
-0.108621,	0.054685,	-0.053935
-0.108843,	0.054797,	-0.054046
-0.109066,	0.054910,	-0.054156
-0.109289,	0.055022,	-0.054267
-0.109511,	0.055134,	-0.054377
-0.109734,	0.055246,	-0.054488
-0.109956,	0.055358,	-0.054599
-0.110179,	0.055470,	-0.054709
-0.110402,	0.055582,	-0.054820
-0.110624,	0.055694,	-0.054930
-0.110847,	0.055806,	-0.055041
-0.111069,	0.055918,	-0.055151
-0.111292,	0.056030,	-0.055262
-0.111514,	0.056142,	-0.055372
-0.111737,	0.056254,	-0.055483
-0.111960,	0.056366,	-0.055593
-0.112182,	0.056479,	-0.055704
-0.112405,	0.056591,	-0.055814
-0.112627,	0.056703,	-0.055925
-0.112850,	0.056815,	-0.056035
-0.113073,	0.056927,	-0.056146
-0.113295,	0.057039,	-0.056256
-0.113518,	0.057151,	-0.056367
-0.113740,	0.057263,	-0.056477
-0.113963,	0.057375,	-0.056588
-0.114186,	0.057487,	-0.056698
-0.114408,	0.057599,	-0.056809
-0.114631,	0.057711,	-0.056920
-0.114853,	0.057823,	-0.057030
-0.115076,	0.057935,	-0.057141
-0.115299,	0.058047,	-0.057251
-0.115521,	0.058160,	-0.057362
-0.115744,	0.058272,	-0.057472
-0.115966,	0.058384,	-0.057583
-0.116189,	0.058496,	-0.057693
-0.116412,	0.058608,	-0.057804
-0.116634,	0.058720,	-0.057914
-0.116857,	0.058832,	-0.058025
-0.117079,	0.058944,	-0.058135
-0.117302,	0.059056,	-0.058246
-0.117524,	0.059168,	-0.058356
-0.117747,	0.059280,	-0.058467
-0.117970,	0.059392,	-0.058577
-0.118192,	0.059504,	-0.058688
-0.118415,	0.059616,	-0.058798
-0.118637,	0.059729,	-0.058909
-0.118860,	0.059841,	-0.059019
-0.119083,	0.059953,	-0.059130
-0.119305,	0.060065,	-0.059240
-0.119528,	0.060177,	-0.059351
-0.119750,	0.060289,	-0.059462
-0.119973,	0.060401,	-0.059572
-0.120196,	0.060513,	-0.059683
-0.120418,	0.060625,	-0.059793
-0.120641,	0.060737,	-0.059904
-0.120863,	0.060849,	-0.060014
-0.121086,	0.060961,	-0.060125
-0.121309,	0.061073,	-0.060235
-0.121531,	0.061185,	-0.060346
-0.121754,	0.061298,	-0.060456
-0.121976,	0.061410,	-0.060567
-0.122199,	0.061522,	-0.060677
-0.122422,	0.061634,	-0.060788
